true_subject,probe_sequence,euclidean_prediction,euclidean_distance,euclidean_correct,cosine_prediction,cosine_similarity,cosine_correct
068,nm-05,068,3.0298,True,068,0.9977,True
068,nm-06,068,3.0844,True,068,0.9975,True
069,nm-05,069,2.4522,True,069,0.9983,True
069,nm-06,069,3.7493,True,069,0.9961,True
070,nm-05,070,4.5525,True,070,0.9934,True
070,nm-06,070,3.5458,True,070,0.996,True
071,nm-05,071,2.1604,True,071,0.9987,True
071,nm-06,071,2.9065,True,071,0.9976,True
072,nm-05,072,3.9941,True,072,0.9954,True
072,nm-06,072,4.6942,True,072,0.9936,True
073,nm-05,073,5.6123,True,073,0.9915,True
073,nm-06,073,5.298,True,073,0.9925,True
074,nm-05,074,4.5594,True,074,0.9943,True
074,nm-06,074,4.6414,True,074,0.9943,True
075,nm-05,075,2.482,True,075,0.9982,True
075,nm-06,075,2.695,True,075,0.9979,True
076,nm-05,076,3.8256,True,076,0.9955,True
076,nm-06,076,2.8709,True,076,0.9975,True
077,nm-05,077,3.1357,True,077,0.9971,True
077,nm-06,077,2.6752,True,077,0.9979,True
078,nm-05,078,3.3164,True,078,0.9972,True
078,nm-06,078,3.4567,True,078,0.997,True
079,nm-05,079,2.4208,True,079,0.9985,True
079,nm-06,079,3.1104,True,079,0.9975,True
080,nm-05,080,3.0906,True,080,0.9973,True
080,nm-06,080,2.9749,True,080,0.9975,True
081,nm-05,081,3.0132,True,081,0.9974,True
081,nm-06,081,3.1214,True,081,0.9973,True
082,nm-05,082,2.0337,True,082,0.9987,True
082,nm-06,082,2.3333,True,082,0.9983,True
083,nm-05,083,4.2713,True,083,0.9948,True
083,nm-06,083,2.9926,True,083,0.9973,True
084,nm-05,084,3.2639,True,084,0.9968,True
084,nm-06,084,3.5927,True,084,0.9963,True
085,nm-05,085,2.9293,True,085,0.9977,True
085,nm-06,085,2.3919,True,085,0.9985,True
086,nm-05,086,2.9487,True,086,0.9973,True
086,nm-06,086,2.7839,True,086,0.9976,True
087,nm-05,087,2.5138,True,087,0.9983,True
087,nm-06,087,2.4311,True,087,0.9984,True
088,nm-05,088,2.2148,True,088,0.9988,True
088,nm-06,088,2.4256,True,088,0.9985,True
089,nm-05,089,3.0029,True,089,0.9974,True
089,nm-06,089,3.5071,True,089,0.9966,True
090,nm-05,090,3.3677,True,090,0.9968,True
090,nm-06,090,3.6369,True,090,0.9962,True
091,nm-05,091,6.219,True,091,0.9908,True
091,nm-06,091,4.2135,True,091,0.9958,True
092,nm-05,092,2.9347,True,092,0.9978,True
092,nm-06,092,3.166,True,092,0.9974,True
093,nm-05,115,4.3213,False,115,0.9952,False
093,nm-06,119,5.5783,False,119,0.9921,False
094,nm-05,094,5.2197,True,094,0.9924,True
094,nm-06,094,6.713,True,094,0.988,True
095,nm-05,015,4.5806,False,001,0.9944,False
095,nm-06,090,5.0468,False,090,0.9934,False
096,nm-05,096,5.2097,True,096,0.9894,True
096,nm-06,096,3.7561,True,096,0.9946,True
097,nm-05,097,3.1039,True,097,0.9971,True
097,nm-06,097,3.1758,True,097,0.9969,True
098,nm-05,098,3.9154,True,098,0.9963,True
098,nm-06,098,5.1397,True,098,0.9936,True
099,nm-05,099,3.1655,True,099,0.9972,True
099,nm-06,099,3.768,True,099,0.996,True
100,nm-05,100,3.8333,True,100,0.9952,True
100,nm-06,100,3.8968,True,100,0.9949,True
101,nm-05,101,3.3807,True,101,0.9967,True
101,nm-06,101,3.7491,True,101,0.996,True
102,nm-05,102,2.275,True,102,0.9985,True
102,nm-06,102,3.1528,True,102,0.9971,True
103,nm-05,103,3.1265,True,103,0.9977,True
103,nm-06,103,3.011,True,103,0.9979,True
104,nm-05,104,2.7499,True,104,0.9977,True
104,nm-06,104,2.6625,True,104,0.9978,True
105,nm-05,105,3.0094,True,105,0.9975,True
105,nm-06,105,3.568,True,105,0.9965,True
106,nm-05,106,2.1346,True,106,0.9988,True
106,nm-06,106,2.2595,True,106,0.9986,True
107,nm-05,107,3.8827,True,107,0.9958,True
107,nm-06,107,3.796,True,107,0.996,True
108,nm-05,108,3.0292,True,108,0.9978,True
108,nm-06,108,3.5485,True,108,0.997,True
109,nm-05,109,3.1931,True,109,0.9981,True
109,nm-06,109,3.1343,True,109,0.9978,True
110,nm-05,110,3.0464,True,110,0.9967,True
110,nm-06,110,3.0152,True,110,0.9967,True
111,nm-05,111,2.5388,True,111,0.9981,True
111,nm-06,111,2.2778,True,111,0.9985,True
112,nm-05,112,3.0232,True,112,0.9969,True
112,nm-06,112,4.9437,True,070,0.9917,False
113,nm-05,113,2.5971,True,113,0.9982,True
113,nm-06,113,2.7592,True,113,0.998,True
114,nm-05,114,2.9452,True,114,0.9979,True
114,nm-06,114,2.3312,True,114,0.9987,True
115,nm-05,115,3.2577,True,115,0.9973,True
115,nm-06,115,2.2738,True,115,0.9987,True
116,nm-05,116,3.6677,True,116,0.9965,True
116,nm-06,116,2.9046,True,116,0.9977,True
117,nm-05,117,2.5504,True,117,0.9979,True
117,nm-06,117,2.6572,True,117,0.9978,True
118,nm-05,118,3.1341,True,118,0.9973,True
118,nm-06,118,2.9609,True,118,0.9975,True
119,nm-05,119,2.3719,True,119,0.9985,True
119,nm-06,119,3.6743,True,119,0.9965,True
120,nm-05,120,2.2795,True,120,0.9987,True
120,nm-06,114,5.8317,False,114,0.9917,False
121,nm-05,121,1.9896,True,121,0.9988,True
121,nm-06,121,1.8749,True,121,0.9989,True
122,nm-05,122,3.0736,True,122,0.9975,True
122,nm-06,122,3.0565,True,122,0.9977,True
123,nm-05,123,3.4193,True,123,0.9965,True
123,nm-06,123,3.5006,True,123,0.9964,True
124,nm-05,124,3.9631,True,124,0.9957,True
124,nm-06,124,4.0471,True,124,0.9954,True
