subject,sequence,view,frame_count
023,nm-06,090,56
024,nm-01,090,73
024,nm-02,090,70
024,nm-03,090,71
024,nm-04,090,86
024,nm-05,090,75
024,nm-06,090,79
025,nm-01,090,60
025,nm-02,090,52
025,nm-03,090,59
025,nm-04,090,53
025,nm-05,090,59
025,nm-06,090,59
026,nm-01,090,64
026,nm-02,090,66
026,nm-03,090,63
026,nm-04,090,64
026,nm-05,090,63
026,nm-06,090,63
027,nm-01,090,71
027,nm-02,090,64
027,nm-03,090,61
027,nm-04,090,65
027,nm-05,090,64
027,nm-06,090,62
028,nm-01,090,68
028,nm-02,090,59
028,nm-03,090,67
028,nm-04,090,71
028,nm-05,090,68
028,nm-06,090,66
029,nm-01,090,58
029,nm-02,090,58
029,nm-03,090,59
029,nm-04,090,59
029,nm-05,090,58
029,nm-06,090,57
030,nm-01,090,56
030,nm-02,090,52
030,nm-03,090,56
030,nm-04,090,61
030,nm-05,090,53
030,nm-06,090,62
031,nm-01,090,60
031,nm-02,090,60
031,nm-03,090,59
031,nm-04,090,56
031,nm-05,090,61
031,nm-06,090,60
032,nm-01,090,55
032,nm-02,090,63
032,nm-03,090,71
032,nm-04,090,64
032,nm-05,090,65
032,nm-06,090,66
033,nm-01,090,59
033,nm-02,090,56
033,nm-03,090,58
033,nm-04,090,56
033,nm-05,090,58
033,nm-06,090,64
034,nm-01,090,73
034,nm-02,090,65
034,nm-03,090,66
034,nm-04,090,69
034,nm-05,090,62
034,nm-06,090,63
035,nm-01,090,61
035,nm-02,090,54
035,nm-03,090,60
035,nm-04,090,59
035,nm-05,090,57
035,nm-06,090,53
036,nm-01,090,60
036,nm-02,090,63
036,nm-03,090,60
036,nm-04,090,74
036,nm-05,090,72
036,nm-06,090,72
037,nm-01,090,71
037,nm-02,090,66
037,nm-03,090,67
037,nm-04,090,59
037,nm-05,090,56
037,nm-06,090,56
038,nm-01,090,64
038,nm-02,090,64
038,nm-03,090,60
038,nm-04,090,58
038,nm-05,090,63
038,nm-06,090,56
039,nm-01,090,68
039,nm-02,090,64
039,nm-03,090,64
039,nm-04,090,63
039,nm-05,090,62
039,nm-06,090,59
040,nm-01,090,76
040,nm-02,090,64
040,nm-03,090,63
040,nm-04,090,61
040,nm-05,090,64
040,nm-06,090,61
041,nm-01,090,51
041,nm-02,090,51
041,nm-03,090,48
041,nm-04,090,54
041,nm-05,090,63
041,nm-06,090,59
042,nm-01,090,50
042,nm-02,090,47
042,nm-03,090,49
042,nm-04,090,49
042,nm-05,090,50
042,nm-06,090,48
043,nm-01,090,62
043,nm-02,090,62
043,nm-03,090,60
043,nm-04,090,64
043,nm-05,090,63
043,nm-06,090,63
044,nm-01,090,63
044,nm-02,090,64
044,nm-03,090,62
044,nm-04,090,62
044,nm-05,090,63
044,nm-06,090,63
045,nm-01,090,72
045,nm-02,090,72
045,nm-03,090,74
045,nm-04,090,71
045,nm-05,090,59
045,nm-06,090,71
046,nm-01,090,53
046,nm-02,090,49
046,nm-03,090,59
046,nm-04,090,54
046,nm-05,090,61
046,nm-06,090,53
047,nm-01,090,64
047,nm-02,090,69
047,nm-03,090,68
047,nm-04,090,68
047,nm-05,090,64
047,nm-06,090,68
048,nm-01,090,63
048,nm-02,090,60
048,nm-03,090,61
048,nm-04,090,61
048,nm-05,090,66
048,nm-06,090,62
049,nm-01,090,54
049,nm-02,090,53
049,nm-03,090,52
049,nm-04,090,51
049,nm-05,090,52
049,nm-06,090,52
050,nm-01,090,51
050,nm-02,090,44
050,nm-03,090,44
050,nm-04,090,49
050,nm-05,090,49
050,nm-06,090,50
051,nm-01,090,50
051,nm-02,090,51
051,nm-03,090,52
051,nm-04,090,52
051,nm-05,090,55
051,nm-06,090,59
052,nm-01,090,49
052,nm-02,090,52
052,nm-03,090,50
052,nm-04,090,57
052,nm-05,090,51
052,nm-06,090,50
053,nm-01,090,54
053,nm-02,090,53
053,nm-03,090,53
053,nm-04,090,54
053,nm-05,090,54
053,nm-06,090,55
054,nm-01,090,57
054,nm-02,090,59
054,nm-03,090,66
054,nm-04,090,68
054,nm-05,090,60
054,nm-06,090,60
055,nm-01,090,61
055,nm-02,090,61
055,nm-03,090,54
055,nm-04,090,53
055,nm-05,090,54
055,nm-06,090,54
056,nm-01,090,54
056,nm-02,090,54
056,nm-03,090,53
056,nm-04,090,54
056,nm-05,090,63
056,nm-06,090,60
057,nm-01,090,51
057,nm-02,090,60
057,nm-03,090,60
057,nm-04,090,63
057,nm-05,090,62
057,nm-06,090,61
058,nm-01,090,50
058,nm-02,090,59
058,nm-03,090,59
058,nm-04,090,52
058,nm-05,090,60
058,nm-06,090,51
059,nm-01,090,62
059,nm-02,090,59
059,nm-03,090,60
059,nm-04,090,60
059,nm-05,090,55
059,nm-06,090,62
060,nm-01,090,68
060,nm-02,090,66
060,nm-03,090,68
060,nm-04,090,67
060,nm-05,090,69
060,nm-06,090,65
061,nm-01,090,56
061,nm-02,090,56
061,nm-03,090,55
061,nm-04,090,57
061,nm-05,090,51
061,nm-06,090,50
062,nm-01,090,60
062,nm-02,090,60
062,nm-03,090,62
062,nm-04,090,54
062,nm-05,090,64
062,nm-06,090,56
063,nm-01,090,54
063,nm-02,090,51
063,nm-03,090,52
063,nm-04,090,54
063,nm-05,090,52
063,nm-06,090,53
064,nm-01,090,54
064,nm-02,090,51
064,nm-03,090,53
064,nm-04,090,56
064,nm-05,090,54
064,nm-06,090,53
065,nm-01,090,62
065,nm-02,090,60
065,nm-03,090,60
065,nm-04,090,60
065,nm-05,090,60
065,nm-06,090,60
066,nm-01,090,53
066,nm-02,090,54
066,nm-03,090,51
066,nm-04,090,55
066,nm-05,090,54
066,nm-06,090,57
067,nm-01,090,61
067,nm-02,090,68
067,nm-03,090,68
067,nm-04,090,69
067,nm-05,090,68
067,nm-06,090,61
068,nm-01,090,59
068,nm-02,090,61
068,nm-03,090,60
068,nm-04,090,62
068,nm-05,090,53
068,nm-06,090,53
069,nm-01,090,58
069,nm-02,090,50
069,nm-03,090,57
069,nm-04,090,56
069,nm-05,090,58
069,nm-06,090,69
070,nm-01,090,59
070,nm-02,090,55
070,nm-03,090,58
070,nm-04,090,57
070,nm-05,090,55
070,nm-06,090,53
071,nm-01,090,67
071,nm-02,090,71
071,nm-03,090,69
071,nm-04,090,69
071,nm-05,090,70
071,nm-06,090,71
072,nm-01,090,61
072,nm-02,090,55
072,nm-03,090,59
072,nm-04,090,62
072,nm-05,090,54
072,nm-06,090,59
073,nm-01,090,63
073,nm-02,090,62
073,nm-03,090,47
073,nm-04,090,49
073,nm-05,090,60
073,nm-06,090,56
074,nm-01,090,43
074,nm-02,090,46
074,nm-03,090,66
074,nm-04,090,58
074,nm-05,090,55
074,nm-06,090,47
075,nm-01,090,64
075,nm-02,090,62
075,nm-03,090,60
075,nm-04,090,63
075,nm-05,090,62
075,nm-06,090,57
076,nm-01,090,59
076,nm-02,090,61
076,nm-03,090,58
076,nm-04,090,58
076,nm-05,090,59
076,nm-06,090,61
077,nm-01,090,64
077,nm-02,090,69
077,nm-03,090,70
077,nm-04,090,70
077,nm-05,090,70
077,nm-06,090,69
078,nm-01,090,59
078,nm-02,090,57
078,nm-03,090,55
078,nm-04,090,50
078,nm-05,090,55
078,nm-06,090,62
079,nm-01,090,62
079,nm-02,090,48
079,nm-03,090,56
079,nm-04,090,55
079,nm-05,090,60
079,nm-06,090,62
080,nm-01,090,63
080,nm-02,090,65
080,nm-03,090,64
080,nm-04,090,63
080,nm-05,090,67
080,nm-06,090,56
081,nm-01,090,56
081,nm-02,090,67
081,nm-03,090,58
081,nm-04,090,65
081,nm-05,090,65
081,nm-06,090,59
082,nm-01,090,85
082,nm-02,090,82
082,nm-03,090,83
082,nm-04,090,80
082,nm-05,090,81
082,nm-06,090,80
083,nm-01,090,56
083,nm-02,090,61
083,nm-03,090,64
083,nm-04,090,58
083,nm-05,090,56
083,nm-06,090,56
084,nm-01,090,53
084,nm-02,090,60
084,nm-03,090,57
084,nm-04,090,60
084,nm-05,090,64
084,nm-06,090,59
085,nm-01,090,55
085,nm-02,090,55
085,nm-03,090,55
085,nm-04,090,56
085,nm-05,090,56
085,nm-06,090,56
086,nm-01,090,64
086,nm-02,090,64
086,nm-03,090,64
086,nm-04,090,64
086,nm-05,090,61
086,nm-06,090,62
087,nm-01,090,65
087,nm-02,090,70
087,nm-03,090,63
087,nm-04,090,61
087,nm-05,090,61
087,nm-06,090,68
088,nm-01,090,56
088,nm-02,090,54
088,nm-03,090,54
088,nm-04,090,54
088,nm-05,090,55
088,nm-06,090,53
089,nm-01,090,45
089,nm-02,090,44
089,nm-03,090,53
089,nm-04,090,53
089,nm-05,090,54
089,nm-06,090,49
090,nm-01,090,54
090,nm-02,090,55
090,nm-03,090,55
090,nm-04,090,56
090,nm-05,090,63
090,nm-06,090,63
091,nm-01,090,47
091,nm-02,090,49
091,nm-03,090,45
091,nm-04,090,44
091,nm-05,090,52
091,nm-06,090,54
092,nm-01,090,78
092,nm-02,090,76
092,nm-03,090,86
092,nm-04,090,71
092,nm-05,090,77
092,nm-06,090,75
093,nm-01,090,66
093,nm-02,090,72
093,nm-03,090,66
093,nm-04,090,74
093,nm-05,090,78
093,nm-06,090,83
094,nm-01,090,56
094,nm-02,090,55
094,nm-03,090,61
094,nm-04,090,58
094,nm-05,090,66
094,nm-06,090,57
095,nm-01,090,54
095,nm-02,090,53
095,nm-03,090,47
095,nm-04,090,54
095,nm-05,090,70
095,nm-06,090,61
096,nm-01,090,59
096,nm-02,090,59
096,nm-03,090,59
096,nm-04,090,57
096,nm-05,090,64
096,nm-06,090,61
097,nm-01,090,58
097,nm-02,090,58
097,nm-03,090,58
097,nm-04,090,59
097,nm-05,090,58
097,nm-06,090,59
098,nm-01,090,61
098,nm-02,090,45
098,nm-03,090,46
098,nm-04,090,53
098,nm-05,090,54
098,nm-06,090,54
099,nm-01,090,55
099,nm-02,090,56
099,nm-03,090,57
099,nm-04,090,45
099,nm-05,090,52
099,nm-06,090,53
100,nm-01,090,60
100,nm-02,090,54
100,nm-03,090,55
100,nm-04,090,57
100,nm-05,090,61
100,nm-06,090,57
101,nm-01,090,64
101,nm-02,090,54
101,nm-03,090,62
101,nm-04,090,55
101,nm-05,090,54
101,nm-06,090,57
102,nm-01,090,68
102,nm-02,090,65
102,nm-03,090,63
102,nm-04,090,62
102,nm-05,090,61
102,nm-06,090,65
103,nm-01,090,51
103,nm-02,090,50
103,nm-03,090,50
103,nm-04,090,49
103,nm-05,090,50
103,nm-06,090,49
104,nm-01,090,48
104,nm-02,090,48
104,nm-03,090,46
104,nm-04,090,45
104,nm-05,090,46
104,nm-06,090,47
105,nm-01,090,49
105,nm-02,090,49
105,nm-03,090,51
105,nm-04,090,45
105,nm-05,090,47
105,nm-06,090,48
106,nm-01,090,57
106,nm-02,090,61
106,nm-03,090,60
106,nm-04,090,65
106,nm-05,090,63
106,nm-06,090,63
107,nm-01,090,60
107,nm-02,090,55
107,nm-03,090,52
107,nm-04,090,56
107,nm-05,090,61
107,nm-06,090,55
108,nm-01,090,65
108,nm-02,090,62
108,nm-03,090,62
108,nm-04,090,66
108,nm-05,090,65
108,nm-06,090,67
109,nm-01,090,84
109,nm-02,090,78
109,nm-03,090,77
109,nm-04,090,76
109,nm-05,090,74
109,nm-06,090,77
110,nm-01,090,73
110,nm-02,090,71
110,nm-03,090,70
110,nm-04,090,72
110,nm-05,090,73
110,nm-06,090,73
111,nm-01,090,59
111,nm-02,090,60
111,nm-03,090,61
111,nm-04,090,61
111,nm-05,090,63
111,nm-06,090,61
112,nm-01,090,63
112,nm-02,090,57
112,nm-03,090,60
112,nm-04,090,62
112,nm-05,090,61
112,nm-06,090,60
113,nm-01,090,54
113,nm-02,090,58
113,nm-03,090,62
113,nm-04,090,62
113,nm-05,090,57
113,nm-06,090,54
114,nm-01,090,51
114,nm-02,090,51
114,nm-03,090,51
114,nm-04,090,51
114,nm-05,090,49
114,nm-06,090,50
115,nm-01,090,74
115,nm-02,090,66
115,nm-03,090,73
115,nm-04,090,72
115,nm-05,090,70
115,nm-06,090,70
116,nm-01,090,58
116,nm-02,090,66
116,nm-03,090,65
116,nm-04,090,73
116,nm-05,090,64
116,nm-06,090,73
117,nm-01,090,69
117,nm-02,090,66
117,nm-03,090,60
117,nm-04,090,60
117,nm-05,090,58
117,nm-06,090,58
118,nm-01,090,69
118,nm-02,090,71
118,nm-03,090,73
118,nm-04,090,75
118,nm-05,090,68
118,nm-06,090,73
119,nm-01,090,73
119,nm-02,090,64
119,nm-03,090,64
119,nm-04,090,66
119,nm-05,090,68
119,nm-06,090,64
120,nm-01,090,67
120,nm-02,090,62
120,nm-03,090,62
120,nm-04,090,59
120,nm-05,090,60
120,nm-06,090,60
121,nm-01,090,53
121,nm-02,090,53
121,nm-03,090,53
121,nm-04,090,54
121,nm-05,090,55
121,nm-06,090,54
122,nm-01,090,53
122,nm-02,090,53
122,nm-03,090,53
122,nm-04,090,52
122,nm-05,090,53
122,nm-06,090,51
123,nm-01,090,52
123,nm-02,090,53
123,nm-03,090,57
123,nm-04,090,54
123,nm-05,090,54
123,nm-06,090,54
124,nm-01,090,57
124,nm-02,090,51
124,nm-03,090,51
124,nm-04,090,50
124,nm-05,090,51
124,nm-06,090,54
